company,review_title,source_section,label,text,text_length,rating,review_date,source_url,language,clean_text,clean_text_length
Softtek,Un buen lugar para adquirir experiencia,pros,positive,Tiene clientes muy competitivos que te permiten crecer profecionalmente,71,4.0,mar 2026,"https://www.glassdoor.com.mx/Reviews/Softtek-Mexico-Reviews-EI_IE108072.0,7_IL.8,14_IN169.htm?countryPickerRedirect=true",es,cliente competitivo permitir crecer profecionalmente,52
Softtek,Network engineer,pros,positive,Buen ambiente laboral y proyectos,33,3.0,mar 2026,"https://www.glassdoor.com.mx/Reviews/Softtek-Mexico-Reviews-EI_IE108072.0,7_IL.8,14_IN169.htm?countryPickerRedirect=true",es,ambiente laboral proyecto,25
Softtek,Comunicación,pros,positive,Ofrecen cursos de capacitacion a otras áreas El trabajo es relativamente tranquilo,82,2.0,mar 2026,"https://www.glassdoor.com.mx/Reviews/Softtek-Mexico-Reviews-EI_IE108072.0,7_IL.8,14_IN169.htm?countryPickerRedirect=true",es,ofrecer curso capacitacion área trabajo relativamente tranquilo,63
Softtek,Softtek,pros,positive,Tiene clientes muy competitivos que te permiten crecer profecionalmente,71,3.8,mar 2026,"https://www.glassdoor.com.mx/Reviews/Softtek-Mexico-Reviews-EI_IE108072.0,7_IL.8,14_IN169.htm?countryPickerRedirect=true",es,cliente competitivo permitir crecer profecionalmente,52
Softtek,Evaluaciones por cargo,pros,positive,Tiene clientes muy competitivos que te permiten crecer profecionalmente,71,3.0,mar 2026,"https://www.glassdoor.com.mx/Reviews/Softtek-Mexico-Reviews-EI_IE108072.0,7_IL.8,14_IN169.htm?countryPickerRedirect=true",es,cliente competitivo permitir crecer profecionalmente,52
Softtek,Recomendada,pros,positive,Tiene clientes muy competitivos que te permiten crecer profecionalmente,71,,,"https://www.glassdoor.com.mx/Reviews/Softtek-Mexico-Reviews-EI_IE108072.0,7_IL.8,14_IN169.htm?countryPickerRedirect=true",es,cliente competitivo permitir crecer profecionalmente,52
Softtek,Tiene clientes muy competitivos que te permiten crecer profecionalmente,pros,positive,Tiene clientes muy competitivos que te permiten crecer profecionalmente,71,,,"https://www.glassdoor.com.mx/Reviews/Softtek-Mexico-Reviews-EI_IE108072.0,7_IL.8,14_IN169.htm?countryPickerRedirect=true",es,cliente competitivo permitir crecer profecionalmente,52
Softtek,No hay mucha oportunidad de crecimiento de sueldos,pros,positive,No hay mucha oportunidad de crecimiento de sueldos,50,,,"https://www.glassdoor.com.mx/Reviews/Softtek-Mexico-Reviews-EI_IE108072.0,7_IL.8,14_IN169.htm?countryPickerRedirect=true",es,oportunidad crecimiento sueldo,30
Softtek,Recomendada,pros,positive,Buen ambiente laboral y proyectos,33,,,"https://www.glassdoor.com.mx/Reviews/Softtek-Mexico-Reviews-EI_IE108072.0,7_IL.8,14_IN169.htm?countryPickerRedirect=true",es,ambiente laboral proyecto,25
Softtek,Buen ambiente laboral y proyectos,pros,positive,Buen ambiente laboral y proyectos,33,,,"https://www.glassdoor.com.mx/Reviews/Softtek-Mexico-Reviews-EI_IE108072.0,7_IL.8,14_IN169.htm?countryPickerRedirect=true",es,ambiente laboral proyecto,25
Softtek,Los sueldos son bajos y no hay aumentos,pros,positive,Los sueldos son bajos y no hay aumentos,39,,,"https://www.glassdoor.com.mx/Reviews/Softtek-Mexico-Reviews-EI_IE108072.0,7_IL.8,14_IN169.htm?countryPickerRedirect=true",es,sueldo bajo aumento,19
Softtek,Recomendada,pros,positive,Ofrecen cursos de capacitacion a otras áreas El trabajo es relativamente tranquilo,82,,,"https://www.glassdoor.com.mx/Reviews/Softtek-Mexico-Reviews-EI_IE108072.0,7_IL.8,14_IN169.htm?countryPickerRedirect=true",es,ofrecer curso capacitacion área trabajo relativamente tranquilo,63
Softtek,Ofrecen cursos de capacitacion a otras áreas El trabajo es relativamente tranquilo,pros,positive,Ofrecen cursos de capacitacion a otras áreas El trabajo es relativamente tranquilo,82,,,"https://www.glassdoor.com.mx/Reviews/Softtek-Mexico-Reviews-EI_IE108072.0,7_IL.8,14_IN169.htm?countryPickerRedirect=true",es,ofrecer curso capacitacion área trabajo relativamente tranquilo,63
Softtek,,pros,positive,"Realmente que esos cursos buscan bloquearlos para que no tengas acceso La enorme falta de comunicacion, muchas veces tenias que retrabajar cosas que ya habian quedado por escrito pero que superiores no se molestaban en revisar",226,,,"https://www.glassdoor.com.mx/Reviews/Softtek-Mexico-Reviews-EI_IE108072.0,7_IL.8,14_IN169.htm?countryPickerRedirect=true",es,realmente curso buscar bloquearlo tengar acceso enorme falta comunicacion tenia retrabajar cosa habiar quedar escrito superior molestar revisar,143
NEORIS,todo bien,pros,positive,para comenzar tu carreta esta bien,34,4.0,mar 2026,https://www.glassdoor.com.mx/Evaluaciones/NEORIS-Evaluaciones-E21367.htm?countryPickerRedirect=true,es,comenzar carreta,16
NEORIS,Data Developer,pros,positive,Aprendes tecnología y estas con clientes buenis,47,2.0,mar 2026,https://www.glassdoor.com.mx/Evaluaciones/NEORIS-Evaluaciones-E21367.htm?countryPickerRedirect=true,es,aprend tecnología cliente buenis,32
NEORIS,Soporte,pros,positive,Aprendizaje directo con el cliente,34,3.0,mar 2026,https://www.glassdoor.com.mx/Evaluaciones/NEORIS-Evaluaciones-E21367.htm?countryPickerRedirect=true,es,aprendizaje directo cliente,27
NEORIS,NEORIS,pros,positive,para comenzar tu carreta esta bien,34,3.7,mar 2026,https://www.glassdoor.com.mx/Evaluaciones/NEORIS-Evaluaciones-E21367.htm?countryPickerRedirect=true,es,comenzar carreta,16
NEORIS,Evaluaciones por cargo,pros,positive,para comenzar tu carreta esta bien,34,3.0,mar 2026,https://www.glassdoor.com.mx/Evaluaciones/NEORIS-Evaluaciones-E21367.htm?countryPickerRedirect=true,es,comenzar carreta,16
NEORIS,Recomendada,pros,positive,para comenzar tu carreta esta bien,34,,,https://www.glassdoor.com.mx/Evaluaciones/NEORIS-Evaluaciones-E21367.htm?countryPickerRedirect=true,es,comenzar carreta,16
NEORIS,para comenzar tu carreta esta bien,pros,positive,para comenzar tu carreta esta bien,34,,,https://www.glassdoor.com.mx/Evaluaciones/NEORIS-Evaluaciones-E21367.htm?countryPickerRedirect=true,es,comenzar carreta,16
NEORIS,Recomendada,pros,positive,Aprendes tecnología y estas con clientes buenis,47,,,https://www.glassdoor.com.mx/Evaluaciones/NEORIS-Evaluaciones-E21367.htm?countryPickerRedirect=true,es,aprend tecnología cliente buenis,32
NEORIS,Aprendes tecnología y estas con clientes buenis,pros,positive,Aprendes tecnología y estas con clientes buenis,47,,,https://www.glassdoor.com.mx/Evaluaciones/NEORIS-Evaluaciones-E21367.htm?countryPickerRedirect=true,es,aprend tecnología cliente buenis,32
NEORIS,Recomendada,pros,positive,Aprendizaje directo con el cliente,34,,,https://www.glassdoor.com.mx/Evaluaciones/NEORIS-Evaluaciones-E21367.htm?countryPickerRedirect=true,es,aprendizaje directo cliente,27
NEORIS,Aprendizaje directo con el cliente,pros,positive,Aprendizaje directo con el cliente,34,,,https://www.glassdoor.com.mx/Evaluaciones/NEORIS-Evaluaciones-E21367.htm?countryPickerRedirect=true,es,aprendizaje directo cliente,27
NEORIS,Los sueldos no suelen ser competitivos,pros,positive,Los sueldos no suelen ser competitivos,38,,,https://www.glassdoor.com.mx/Evaluaciones/NEORIS-Evaluaciones-E21367.htm?countryPickerRedirect=true,es,sueldo soler competitivo,24
Tata Consultancy Services,Salario formato trainee con 3 año de estadia,pros,positive,No hay presiones Trabajas con el cliente Entrega equipos Beneficios Descuentos Udemy LinkedIn learning,102,4.0,mar 2026,https://www.glassdoor.com.mx/Reviews/Tata-Consultancy-Services-Reviews-E13461.htm?countryPickerRedirect=true,es,presión trabaja cliente entregar equipo beneficio descuento udemy linkedin learning,83
Tata Consultancy Services,Poco crecimiento,pros,positive,las prestaciones son las de ley,31,2.0,mar 2026,https://www.glassdoor.com.mx/Reviews/Tata-Consultancy-Services-Reviews-E13461.htm?countryPickerRedirect=true,es,prestación ley,14
Tata Consultancy Services,Tata Consultancy Services,pros,positive,No hay presiones Trabajas con el cliente Entrega equipos Beneficios Descuentos Udemy LinkedIn learning,102,3.5,mar 2026,https://www.glassdoor.com.mx/Reviews/Tata-Consultancy-Services-Reviews-E13461.htm?countryPickerRedirect=true,es,presión trabaja cliente entregar equipo beneficio descuento udemy linkedin learning,83
Tata Consultancy Services,Evaluaciones por cargo,pros,positive,No hay presiones Trabajas con el cliente Entrega equipos Beneficios Descuentos Udemy LinkedIn learning,102,3.0,mar 2026,https://www.glassdoor.com.mx/Reviews/Tata-Consultancy-Services-Reviews-E13461.htm?countryPickerRedirect=true,es,presión trabaja cliente entregar equipo beneficio descuento udemy linkedin learning,83
Tata Consultancy Services,Recomendada,pros,positive,No hay presiones Trabajas con el cliente Entrega equipos Beneficios Descuentos Udemy LinkedIn learning,102,,,https://www.glassdoor.com.mx/Reviews/Tata-Consultancy-Services-Reviews-E13461.htm?countryPickerRedirect=true,es,presión trabaja cliente entregar equipo beneficio descuento udemy linkedin learning,83
Tata Consultancy Services,No hay presiones Trabajas con el cliente Entrega equipos Beneficios Descuentos Udemy LinkedIn learning,pros,positive,No hay presiones Trabajas con el cliente Entrega equipos Beneficios Descuentos Udemy LinkedIn learning,102,,,https://www.glassdoor.com.mx/Reviews/Tata-Consultancy-Services-Reviews-E13461.htm?countryPickerRedirect=true,es,presión trabaja cliente entregar equipo beneficio descuento udemy linkedin learning,83
Tata Consultancy Services,No sentido de pertenencia No aumento salarial durante el año No hay ascenso de puesto realista,pros,positive,No sentido de pertenencia No aumento salarial durante el año No hay ascenso de puesto realista,94,,,https://www.glassdoor.com.mx/Reviews/Tata-Consultancy-Services-Reviews-E13461.htm?countryPickerRedirect=true,es,sentido pertenencia aumento salarial año ascenso puesto realista,64
Tata Consultancy Services,Recomendada,pros,positive,las prestaciones son las de ley,31,,,https://www.glassdoor.com.mx/Reviews/Tata-Consultancy-Services-Reviews-E13461.htm?countryPickerRedirect=true,es,prestación ley,14
Tata Consultancy Services,las prestaciones son las de ley,pros,positive,las prestaciones son las de ley,31,,,https://www.glassdoor.com.mx/Reviews/Tata-Consultancy-Services-Reviews-E13461.htm?countryPickerRedirect=true,es,prestación ley,14
Tata Consultancy Services,los horarios varian demasiado de un dia a otro,pros,positive,los horarios varian demasiado de un dia a otro,46,,,https://www.glassdoor.com.mx/Reviews/Tata-Consultancy-Services-Reviews-E13461.htm?countryPickerRedirect=true,es,horario variar,14
Chubb,Desinformación,pros,positive,Flexibles en horarios y vacaciones Buen sueldo Buenas Prestaciones Híbrido o Remoto,83,4.0,mar 2026,https://www.glassdoor.com.mx/Evaluaciones/Chubb-Evaluaciones-E150.htm?countryPickerRedirect=true,es,flexible horario vacación sueldo prestación híbrido remoto,58
Chubb,Modo de Trabajo,pros,positive,"La ventaja es que al ser practicante y tener tiempo parcial se acomoda muy bien a tus estudios, además el formato híbrido es ideal como estudiante.",147,5.0,feb 2026,https://www.glassdoor.com.mx/Evaluaciones/Chubb-Evaluaciones-E150.htm?countryPickerRedirect=true,es,ventaja practicante tiempo parcial acomoda estudio formato híbrido ideal estudiante,83
Chubb,Buen lugar,pros,positive,Flexibilidad Aprendizaje Buen lugar Crecimiento Estabilidad,59,4.0,ene 2026,https://www.glassdoor.com.mx/Evaluaciones/Chubb-Evaluaciones-E150.htm?countryPickerRedirect=true,es,flexibilidad aprendizaje lugar crecimiento estabilidad,54
Chubb,Chubb,pros,positive,Flexibles en horarios y vacaciones Buen sueldo Buenas Prestaciones Híbrido o Remoto,83,3.7,mar 2026,https://www.glassdoor.com.mx/Evaluaciones/Chubb-Evaluaciones-E150.htm?countryPickerRedirect=true,es,flexible horario vacación sueldo prestación híbrido remoto,58
Chubb,Evaluaciones por cargo,pros,positive,Flexibles en horarios y vacaciones Buen sueldo Buenas Prestaciones Híbrido o Remoto,83,3.0,mar 2026,https://www.glassdoor.com.mx/Evaluaciones/Chubb-Evaluaciones-E150.htm?countryPickerRedirect=true,es,flexible horario vacación sueldo prestación híbrido remoto,58
Chubb,Recomendada,pros,positive,Flexibles en horarios y vacaciones Buen sueldo Buenas Prestaciones Híbrido o Remoto,83,,,https://www.glassdoor.com.mx/Evaluaciones/Chubb-Evaluaciones-E150.htm?countryPickerRedirect=true,es,flexible horario vacación sueldo prestación híbrido remoto,58
Chubb,Flexibles en horarios y vacaciones Buen sueldo Buenas Prestaciones Híbrido o Remoto,pros,positive,Flexibles en horarios y vacaciones Buen sueldo Buenas Prestaciones Híbrido o Remoto,83,,,https://www.glassdoor.com.mx/Evaluaciones/Chubb-Evaluaciones-E150.htm?countryPickerRedirect=true,es,flexible horario vacación sueldo prestación híbrido remoto,58
Chubb,Ambiente laboral malo Exceso de cursos obligatorios Cambios de management seguido Desconexión entre RH y sus Equipos Desconexión entre todos los equipos,pros,positive,Ambiente laboral malo Exceso de cursos obligatorios Cambios de management seguido Desconexión entre RH y sus Equipos Desconexión entre todos los equipos,152,,,https://www.glassdoor.com.mx/Evaluaciones/Chubb-Evaluaciones-E150.htm?countryPickerRedirect=true,es,ambiente laboral malo exceso curso obligatorio cambio management seguido desconexión rh equipo desconexión equipo,113
Chubb,Recomendada,pros,positive,"La ventaja es que al ser practicante y tener tiempo parcial se acomoda muy bien a tus estudios, además el formato híbrido es ideal como estudiante.",147,,,https://www.glassdoor.com.mx/Evaluaciones/Chubb-Evaluaciones-E150.htm?countryPickerRedirect=true,es,ventaja practicante tiempo parcial acomoda estudio formato híbrido ideal estudiante,83
Chubb,"La ventaja es que al ser practicante y tener tiempo parcial se acomoda muy bien a tus estudios, además el formato híbrido es ideal como estudiante.",pros,positive,"La ventaja es que al ser practicante y tener tiempo parcial se acomoda muy bien a tus estudios, además el formato híbrido es ideal como estudiante.",147,,,https://www.glassdoor.com.mx/Evaluaciones/Chubb-Evaluaciones-E150.htm?countryPickerRedirect=true,es,ventaja practicante tiempo parcial acomoda estudio formato híbrido ideal estudiante,83
Chubb,La organización y comunicación debería mejorar.,pros,positive,La organización y comunicación debería mejorar.,47,,,https://www.glassdoor.com.mx/Evaluaciones/Chubb-Evaluaciones-E150.htm?countryPickerRedirect=true,es,organización comunicación deber mejorar,39
Chubb,Recomendada,pros,positive,Flexibilidad Aprendizaje Buen lugar Crecimiento Estabilidad,59,,,https://www.glassdoor.com.mx/Evaluaciones/Chubb-Evaluaciones-E150.htm?countryPickerRedirect=true,es,flexibilidad aprendizaje lugar crecimiento estabilidad,54
Chubb,Flexibilidad Aprendizaje Buen lugar Crecimiento Estabilidad,pros,positive,Flexibilidad Aprendizaje Buen lugar Crecimiento Estabilidad,59,,,https://www.glassdoor.com.mx/Evaluaciones/Chubb-Evaluaciones-E150.htm?countryPickerRedirect=true,es,flexibilidad aprendizaje lugar crecimiento estabilidad,54
Infosys,Evaluación continua,pros,positive,Múltiples clientes con los cuales puedes trabajar,49,4.0,mar 2026,https://www.glassdoor.com.mx/Evaluaciones/Infosys-Evaluaciones-E7927.htm?countryPickerRedirect=true,es,múltiple cliente poder trabajar,31
Infosys,Recomendada,pros,positive,Múltiples clientes con los cuales puedes trabajar,49,,,https://www.glassdoor.com.mx/Evaluaciones/Infosys-Evaluaciones-E7927.htm?countryPickerRedirect=true,es,múltiple cliente poder trabajar,31
Infosys,Múltiples clientes con los cuales puedes trabajar,pros,positive,Múltiples clientes con los cuales puedes trabajar,49,,,https://www.glassdoor.com.mx/Evaluaciones/Infosys-Evaluaciones-E7927.htm?countryPickerRedirect=true,es,múltiple cliente poder trabajar,31
Infosys,Se aprecia que el pipeline de new hires es mayor al número de personal de RH,pros,positive,Se aprecia que el pipeline de new hires es mayor al número de personal de RH,76,,,https://www.glassdoor.com.mx/Evaluaciones/Infosys-Evaluaciones-E7927.htm?countryPickerRedirect=true,es,apreciar pipeline new hir número personal rh,44
Oracle,somos pollitos de colores,pros,positive,"sueldo, ambiente de trabajo, oficinas, seguro medico",52,4.0,mar 2026,https://www.glassdoor.com.mx/Evaluaciones/Oracle-Evaluaciones-E1737.htm?countryPickerRedirect=true,es,sueldo ambiente trabajo oficina seguro medico,45
Oracle,Recomendado,pros,positive,Prestaciones superiores a la ley Buenas Instalaciones,53,5.0,mar 2026,https://www.glassdoor.com.mx/Evaluaciones/Oracle-Evaluaciones-E1737.htm?countryPickerRedirect=true,es,prestación superior ley instalación,35
Oracle,Mexico,pros,positive,Buenas prestaciones Salario medio Buen equipo,45,2.0,mar 2026,https://www.glassdoor.com.mx/Evaluaciones/Oracle-Evaluaciones-E1737.htm?countryPickerRedirect=true,es,prestación salario equipo,25
Oracle,Oracle,pros,positive,"sueldo, ambiente de trabajo, oficinas, seguro medico",52,3.6,mar 2026,https://www.glassdoor.com.mx/Evaluaciones/Oracle-Evaluaciones-E1737.htm?countryPickerRedirect=true,es,sueldo ambiente trabajo oficina seguro medico,45
Oracle,Evaluaciones por cargo,pros,positive,"sueldo, ambiente de trabajo, oficinas, seguro medico",52,3.0,mar 2026,https://www.glassdoor.com.mx/Evaluaciones/Oracle-Evaluaciones-E1737.htm?countryPickerRedirect=true,es,sueldo ambiente trabajo oficina seguro medico,45
Oracle,Recomendada,pros,positive,"sueldo, ambiente de trabajo, oficinas, seguro medico",52,,,https://www.glassdoor.com.mx/Evaluaciones/Oracle-Evaluaciones-E1737.htm?countryPickerRedirect=true,es,sueldo ambiente trabajo oficina seguro medico,45
Oracle,"sueldo, ambiente de trabajo, oficinas, seguro medico",pros,positive,"sueldo, ambiente de trabajo, oficinas, seguro medico",52,,,https://www.glassdoor.com.mx/Evaluaciones/Oracle-Evaluaciones-E1737.htm?countryPickerRedirect=true,es,sueldo ambiente trabajo oficina seguro medico,45
Oracle,Recomendada,pros,positive,Prestaciones superiores a la ley Buenas Instalaciones,53,,,https://www.glassdoor.com.mx/Evaluaciones/Oracle-Evaluaciones-E1737.htm?countryPickerRedirect=true,es,prestación superior ley instalación,35
Oracle,Prestaciones superiores a la ley Buenas Instalaciones,pros,positive,Prestaciones superiores a la ley Buenas Instalaciones,53,,,https://www.glassdoor.com.mx/Evaluaciones/Oracle-Evaluaciones-E1737.htm?countryPickerRedirect=true,es,prestación superior ley instalación,35
Oracle,Sueldo bajo considerando otras empresas de faangs,pros,positive,Sueldo bajo considerando otras empresas de faangs,49,,,https://www.glassdoor.com.mx/Evaluaciones/Oracle-Evaluaciones-E1737.htm?countryPickerRedirect=true,es,sueldo considerar empresa faang,31
Oracle,Recomendada,pros,positive,Buenas prestaciones Salario medio Buen equipo,45,,,https://www.glassdoor.com.mx/Evaluaciones/Oracle-Evaluaciones-E1737.htm?countryPickerRedirect=true,es,prestación salario equipo,25
Oracle,Buenas prestaciones Salario medio Buen equipo,pros,positive,Buenas prestaciones Salario medio Buen equipo,45,,,https://www.glassdoor.com.mx/Evaluaciones/Oracle-Evaluaciones-E1737.htm?countryPickerRedirect=true,es,prestación salario equipo,25
Oracle,Congelamiento de salario por años No hay feedback ni te dicen que necesitas para el siguiente nivel Te aprueban las promociones pero no las hacen efectivas,pros,positive,Congelamiento de salario por años No hay feedback ni te dicen que necesitas para el siguiente nivel Te aprueban las promociones pero no las hacen efectivas,155,,,https://www.glassdoor.com.mx/Evaluaciones/Oracle-Evaluaciones-E1737.htm?countryPickerRedirect=true,es,congelamiento salario año feedback necesita nivel apruer promoción efectivo,75
IBM,CSE,pros,positive,"Muy bien todo, excelente ambiente",33,5.0,mar 2026,https://www.glassdoor.com.mx/Evaluaciones/IBM-Evaluaciones-E354.htm?countryPickerRedirect=true,es,excelente ambiente,18
IBM,Bueno,pros,positive,Ambiente laboral es muy bueno,29,5.0,mar 2026,https://www.glassdoor.com.mx/Evaluaciones/IBM-Evaluaciones-E354.htm?countryPickerRedirect=true,es,ambiente laboral,16
IBM,Correcto,pros,positive,Reto tecnológico según el proyecto donde estés Equipo grande donde hay margen de aprendizaje,92,3.0,mar 2026,https://www.glassdoor.com.mx/Evaluaciones/IBM-Evaluaciones-E354.htm?countryPickerRedirect=true,es,reto tecnológico proyecto estés equipo margen aprendizaje,57
IBM,IBM,pros,positive,"Muy bien todo, excelente ambiente",33,3.9,mar 2026,https://www.glassdoor.com.mx/Evaluaciones/IBM-Evaluaciones-E354.htm?countryPickerRedirect=true,es,excelente ambiente,18
IBM,Evaluaciones por cargo,pros,positive,"Muy bien todo, excelente ambiente",33,3.0,mar 2026,https://www.glassdoor.com.mx/Evaluaciones/IBM-Evaluaciones-E354.htm?countryPickerRedirect=true,es,excelente ambiente,18
IBM,Recomendada,pros,positive,"Muy bien todo, excelente ambiente",33,,,https://www.glassdoor.com.mx/Evaluaciones/IBM-Evaluaciones-E354.htm?countryPickerRedirect=true,es,excelente ambiente,18
IBM,"Muy bien todo, excelente ambiente",pros,positive,"Muy bien todo, excelente ambiente",33,,,https://www.glassdoor.com.mx/Evaluaciones/IBM-Evaluaciones-E354.htm?countryPickerRedirect=true,es,excelente ambiente,18
IBM,Recomendada,pros,positive,Ambiente laboral es muy bueno,29,,,https://www.glassdoor.com.mx/Evaluaciones/IBM-Evaluaciones-E354.htm?countryPickerRedirect=true,es,ambiente laboral,16
IBM,Ambiente laboral es muy bueno,pros,positive,Ambiente laboral es muy bueno,29,,,https://www.glassdoor.com.mx/Evaluaciones/IBM-Evaluaciones-E354.htm?countryPickerRedirect=true,es,ambiente laboral,16
IBM,Recomendada,pros,positive,Reto tecnológico según el proyecto donde estés Equipo grande donde hay margen de aprendizaje,92,,,https://www.glassdoor.com.mx/Evaluaciones/IBM-Evaluaciones-E354.htm?countryPickerRedirect=true,es,reto tecnológico proyecto estés equipo margen aprendizaje,57
